LIGNE;PK;X;Y
229000;36475;678983,09;6883428,75
229000;36589;679028,94;6883533,3
229000;36610;679034,11;6883553,25
229000;36737;679090,04;6883667,71
229000;36909;679156,34;6883827,05
229000;36938;679171,54;6883851,91
229000;37025;679207,19;6883931,56
229000;37046;679212,35;6883951,51
229000;37086;679232,64;6883986,32
229000;37156;679258,17;6884052,06
229000;37190;679273,42;6884081,92
229000;37200;679273,5;6884091,91
229000;37260;679298,95;6884146,66
229000;37314;679319,36;6884196,46
229000;37354;679339,64;6884231,27
229000;37423;679365,17;6884296,02
229000;37479;679390,57;6884345,78
229000;37527;679405,94;6884390,62
272000;18700;660185,89;6880063,93
272000;18725;660206;6880078,75
272000;18743;660216,12;6880093,66
272000;19418;660705,75;6880559,27
272000;19562;660806,56;6880663,36
272000;19743;660937,53;6880788,18
272000;20029;661149,03;6880981,29
272000;20045;661164,06;6880986,16
272000;20133;661224,57;6881050,61
272000;20606;661572,07;6881372,5
272000;20624;661582,19;6881387,41
272000;20802;661709,16;6881511,26
272000;21662;662332,79;6882105,67